month,period,mean,p25,p50,p75,p90
2026-01-01,peak,83.12501220254566,-19.640093992778198,85.58395816439145,188.38773167231076,279.969189380804
2026-01-01,off_peak,71.61624849582066,-0.7051624170282977,62.597418027625594,142.15204340908846,210.43255816565528
2026-02-01,peak,75.95683635586329,-24.827377453191218,75.2312615420675,178.4459260718726,275.6753108452558
2026-02-01,off_peak,53.9457412219135,-15.930740891596226,59.852587103851974,118.37102351330128,195.59891919118496
2026-03-01,peak,33.4483218699023,-68.76182833785784,36.49778381083614,146.00399285802754,223.11212865756545
2026-03-01,off_peak,45.601580875396415,-26.020874175620694,36.26885302945166,114.76315198368985,185.34903250873876
2026-04-01,peak,43.45876339442924,-61.19382217857083,35.259453191167374,146.13604137459464,248.1706084425132
2026-04-01,off_peak,26.036235673143864,-47.8517643427122,20.94143700947637,105.64581139325533,151.57822444032573
2026-05-01,peak,54.186138166833956,-32.71423108632665,48.402749775791875,157.00713542056198,235.7941110743912
2026-05-01,off_peak,25.53083744476706,-45.11221186727059,27.112767651745692,94.59051291381056,159.13836050463775
2026-06-01,off_peak,43.15972808438512,-42.14675247424724,40.35701586314026,124.72621726908804,179.87869048997914
2026-06-01,peak,55.772021955333145,-59.592822877535255,59.91710980907658,163.0571621436091,274.46402994519815
2026-07-01,off_peak,52.91810355287038,-28.339558371813943,54.137461204946945,131.86801536911727,191.58943571825333
2026-07-01,peak,82.38927763965374,-17.318360115726325,86.45745253785371,192.63398579994833,272.2607090278566
2026-08-01,off_peak,57.51780682007685,-13.781974739562838,50.84465491608394,129.9826071567547,203.56183875323376
2026-08-01,peak,104.7159440109201,3.6315319384675036,96.2057616350399,202.83392020235536,304.84721725374266
2026-09-01,peak,51.65492220343964,-51.86715503663458,57.104553824149136,153.04111269524006,216.81266212806688
2026-09-01,off_peak,33.90468517811312,-27.26804982758619,46.40427063952197,100.78257807844095,163.72940443544883
2026-10-01,off_peak,57.973671784830984,-11.046859994461034,61.474986528738626,131.59011447215835,205.62929862651285
2026-10-01,peak,50.64168305641153,-48.9411685488013,56.54854352673243,149.20108030448833,264.90104159493444
2026-11-01,peak,42.856882992686295,-44.99723247493815,43.59521800175483,132.00276570406825,237.08094771878493
2026-11-01,off_peak,36.286652445368695,-42.9240408474549,35.45864957131245,107.759237317281,166.45979944493973
2026-12-01,peak,62.34907063473608,-43.247114073332384,53.350390378160014,179.77448056278226,237.98094514158666
2026-12-01,off_peak,33.529768525850685,-50.50971061486722,42.307220410008924,110.82408822298032,180.6458952879231
2027-01-01,off_peak,76.23498360123301,1.8410936187767213,71.97163532386219,151.97010808680207,220.42833289912437
2027-01-01,peak,90.763516683454,-28.235540485878968,90.22190485045343,208.02747203493783,290.9922161065149
2027-02-01,peak,91.91789348602146,-11.6082918891465,104.36818123891769,209.9231371262951,281.85307191874205
2027-02-01,off_peak,80.00009644702685,2.033226649280092,88.8785869410354,157.2250355599382,207.22092321479965
2027-03-01,peak,35.78807479975412,-67.90372318336028,40.744569003303056,137.45339636686248,236.7424043146105
2027-03-01,off_peak,42.1397404229819,-45.412824575549585,39.720077675958805,129.23553071706192,197.2680398917241
2027-04-01,peak,40.63819083334496,-71.2370279071391,46.636410917724504,158.52250850803853,252.82520892331155
2027-04-01,off_peak,35.25899043720029,-38.33950478393129,34.183898866708844,100.27971188167771,155.7465672446584
2027-05-01,peak,55.072096095763555,-34.95538579918811,55.306347334652756,148.55477388814765,231.63269758298514
2027-05-01,off_peak,41.707501643524466,-30.10531701375985,40.06443538432294,118.25805450292711,174.82584175643086
2027-06-01,off_peak,61.95418983702407,-5.455756462989825,58.37387224950638,128.55564227038326,197.7542941086041
2027-06-01,peak,62.833235146907484,-37.28681584746667,64.58070596179111,171.25004823099718,239.6785151044083
2027-07-01,off_peak,53.94643662342739,-24.900504477112225,56.577972323646804,122.17505652191825,203.4707279323302
2027-07-01,peak,76.53737307245233,-16.599414944436855,75.67847577981078,169.74821433647452,290.6230202557991
2027-08-01,peak,97.4903949727153,-10.572067514110714,106.03399143211209,214.71984175227777,299.34115482509895
2027-08-01,off_peak,60.1583485940911,-15.202487584987658,58.7446715814317,132.41334822779623,202.37868535114185
2027-09-01,peak,58.53175504810529,-55.006891907679616,51.33234470990482,166.80466188957874,267.38871876501645
2027-09-01,off_peak,44.29624486535746,-49.611049694878574,58.142035893220495,124.71334723790764,178.08155763997686
2027-10-01,peak,64.07151505244191,-23.700977677230746,78.15136561896736,148.75706034683503,250.2801581754324
2027-10-01,off_peak,43.3607357703485,-21.16647720513086,46.666269706751535,102.32551208324355,170.76276347086122
2027-11-01,peak,41.25174079222158,-56.318001605259404,33.627490198259366,136.7597227437021,247.57404072100036
2027-11-01,off_peak,34.50282684075103,-40.773562582591566,37.286305563847044,112.73739966819315,178.61815696777887
2027-12-01,peak,36.53749058498602,-92.53061818338406,32.48731784319628,154.95838789184558,260.3698321758522
2027-12-01,off_peak,39.60573614691435,-46.32886008635048,39.30117100541171,113.06253490120315,178.83007059147153
2028-01-01,off_peak,73.63907519024646,16.247294367714225,77.14762260382787,133.69787739928336,195.86654217239013
2028-01-01,peak,79.88088038018982,-51.04517812013254,79.24836430514321,190.39287392692188,294.77505057287163
2028-02-01,off_peak,67.62041346888049,-3.407037678772131,70.25036425404014,138.24489665700827,219.4699283276545
2028-02-01,peak,77.68510378933665,-15.304665175418183,77.9818673051177,183.91408373702063,269.71362260746315
2028-03-01,peak,52.52416191298738,-56.208852718047766,51.799682683481876,160.67559681358262,237.4876067484148
