month,period,mean,p25,p50,p75,p90
2026-01-01,peak,62.51932471174292,37.1090720145597,63.87105401932254,93.43082867047318,110.56975784595654
2026-01-01,off_peak,48.79363464124113,33.06562639213122,48.650944772552776,66.95719948860524,79.88125241458773
2026-02-01,peak,48.51994269453138,17.48191514584863,48.54747979928838,75.9812117127873,106.63322375723386
2026-02-01,off_peak,43.51879589307755,23.589271653399383,45.16211610813469,63.17366380929475,78.12868771428269
2026-03-01,peak,40.14458382934426,15.035109631668632,41.85436286419922,62.73874791027862,88.65254318578378
2026-03-01,off_peak,33.28839487910145,13.681549695567195,33.49613665008242,53.62914607395271,69.19954065096817
2026-04-01,peak,40.4769778007749,17.46768169364999,43.72963938103739,66.82101562580307,91.08577229172363
2026-04-01,off_peak,29.491686640504312,12.282267005696834,29.333223680962213,46.191635732684205,63.96733712519344
2026-05-01,peak,41.33972417243427,21.605755136112915,38.47617299699044,63.760797907801546,88.0599399670166
2026-05-01,off_peak,27.378729807773148,10.08754903227064,25.49789356764876,44.9986926419339,60.01452657538224
2026-06-01,off_peak,29.64353936248659,12.466382262711518,29.09694784295553,46.32449045407979,61.08950398708189
2026-06-01,peak,45.73975120315024,20.847986392143667,45.204151127397466,70.85385102315351,95.09475579300582
2026-07-01,off_peak,34.22995700520847,13.893166443152769,35.573940531835575,54.15835036255528,73.2891018591165
2026-07-01,peak,69.7645838261084,41.17594881774157,73.62308582334485,94.03874767027803,117.91386659132256
2026-08-01,off_peak,29.969046594889413,12.403718444598926,29.42794025794262,46.4248826074822,67.53388456492446
2026-08-01,peak,62.243278224689064,34.3086109440514,63.66934880873711,90.6418534987825,121.29328291153283
2026-09-01,peak,45.87837242440846,17.610664054066397,49.225739023057244,79.0322177852882,96.44989418353829
2026-09-01,off_peak,26.890929294518422,9.416675524948012,25.668755597563774,45.65417568720485,62.226261145455396
2026-10-01,off_peak,29.849227643436244,13.529570947949056,31.146368608111416,49.06652120208337,61.88336678150428
2026-10-01,peak,44.23386657661761,20.72998804348962,44.38084006476838,72.48372347078892,95.52924617049916
2026-11-01,peak,45.60863672367613,19.365327154676866,44.1460633896409,71.95325630638507,96.46883061368631
2026-11-01,off_peak,33.952461133394365,14.68239318812347,32.80463629065355,49.98660705555794,65.25589684577469
2026-12-01,peak,54.31012172418539,23.013009857717204,54.30761438071009,85.5106318466271,105.41055552042393
2026-12-01,off_peak,47.44886689252239,29.84065826836573,47.4172255807514,64.44573114377978,81.35816486562884
2027-01-01,off_peak,66.08263377372786,47.10025002655295,65.47285686522001,85.84072376277523,98.2508004985032
2027-01-01,peak,73.98735265228497,46.525671183160505,77.4502165996166,95.35109451557412,127.778227632906
2027-02-01,peak,67.32378798546537,38.37936320766515,62.70074284131579,97.40019762169331,119.75599395939558
2027-02-01,off_peak,55.21823180574003,35.0603026998627,54.52849133041022,76.29498629126188,92.7160837188206
2027-03-01,peak,44.427087807802835,19.83978156737234,41.06707109937652,71.97551264982458,98.06100438496256
2027-03-01,off_peak,36.301594434814824,16.078054687040925,37.09318612358854,59.83569646363964,75.63946964666725
2027-04-01,peak,43.580167566884214,15.400284041993494,45.78333028180468,72.30970786834503,97.0703961832878
2027-04-01,off_peak,27.063341372641343,9.945930633607556,27.77736493948447,46.36563158634293,60.22013503307724
2027-05-01,peak,46.34311759647306,18.753244030332482,44.33185064942512,74.18000305621985,102.28251549138382
2027-05-01,off_peak,29.951088051375272,11.073592701906435,30.39133364582422,49.166218126098,64.34873584376028
2027-06-01,off_peak,27.464537946138577,8.55957481645278,26.465444304982316,45.643964310188444,63.08924666441244
2027-06-01,peak,48.12602999842351,24.357014269589904,43.6164815940227,67.88280131320482,105.04579899681077
2027-07-01,off_peak,35.21478017729038,19.252830934161647,35.55623069216834,52.96652399947774,68.28228506267064
2027-07-01,peak,70.91576818210466,46.30568486442254,72.24595547462292,95.37885895747254,118.00078115605302
2027-08-01,peak,68.83646618374411,41.903104431890135,67.40394456866484,99.7858736066471,124.13015394446309
2027-08-01,off_peak,34.51582123654788,17.99602337966675,31.31566248997687,53.432695765584235,73.11469374937452
2027-09-01,peak,51.27248308786238,28.97569149941436,52.14610400446658,78.62259734765243,104.20384103892617
2027-09-01,off_peak,27.822292754481186,10.56635421510618,25.870646320442376,43.48606278237846,62.813884877156575
2027-10-01,peak,50.95888910668668,20.368340792864995,49.22867245665714,77.54815922461015,99.23119201589266
2027-10-01,off_peak,30.328935121878295,12.219317853521929,25.486687225174602,49.08359032009561,67.77260192257967
2027-11-01,peak,42.54879786915372,12.616371242277214,40.961711955165754,72.17457769200038,93.10864330300647
2027-11-01,off_peak,34.96004037533871,12.825296466868995,34.34565147385849,55.13258203614796,76.10893927195657
2027-12-01,peak,57.815503707567984,29.127669140616486,57.079903488125886,86.9880873269323,105.6168740172534
2027-12-01,off_peak,43.75048412805826,25.095514767426344,42.20903854405152,61.60779007470337,81.94248788723151
2028-01-01,off_peak,68.52915672773287,54.35637560706885,68.4826214972942,87.38801780140194,99.76379700405349
2028-01-01,peak,74.28331046560547,50.23585461179179,76.54089674606735,99.47095483730001,120.74710869586328
2028-02-01,off_peak,57.289891526329484,40.42931132857193,57.97849419226752,74.96208517133414,90.92550647440066
2028-02-01,peak,66.89327545122045,35.75513288506838,66.77294447180432,93.59919667348346,116.07704653093585
2028-03-01,peak,43.696149779822036,15.869556595754078,42.28835173083037,65.48483594589554,100.03778018235651
2028-03-01,off_peak,35.94159333441939,16.147601375357503,34.13046046997726,54.72926838945182,71.20766656055338
